UNIVERSITY NAME,LOCATION,RATING,SCORES,PRICE
"University of South Carolina - Upstate, Spartanburg","South Carolina, usa",N/A,Estd. Year, M.S Informatics$29.3K/Yr
"Wofford College, Spartanburg","South Carolina, usa",N/A,-*-, B.Sc Environmental Stu...$56.5K/Yr
"Black Hills State University, Spearfish","South Dakota, usa",N/A,Estd. Year, M.B.A$19.5K/Yr
"Gonzaga University, Spokane","Washington, usa",N/A,-*-, M.S Taxation$30.3K/Yr
"Western New England University, Springfield","Massachusetts, usa",N/A,Estd. Year, M.S Sport Leadership a...$25.5K/Yr
"University of Illinois, Springfield","Illinois, usa",N/A,Estd. Year, M.S Management Informa...$10.8K/Yr
"American International College, Springfield","Massachusetts, usa",N/A,Estd. Year, M.A Counseling Psychol...$27.6K/Yr
"Springfield College, Springfield","Massachusetts, usa",N/A,Estd. Year, M.S Organizational Man...$32.2K/Yr
"Wittenberg University, Springfield","Massachusetts, usa",N/A,-*-, M.S Analytics$39.4K/Yr
"Drury University, Springfield","Missouri, usa",N/A,Estd. Year, M.B.A$21K/Yr
"Saint Cloud State University, St. Cloud","Minnesota, usa",N/A,-*-, M.S Computer Science$9.5K/Yr
"Eastern University, St. Davids","Pennsylvania, usa",N/A,Estd. Year, M.S Nursing$26.8K/Yr
"College of Saint Benedict & Saint John's University, Collegeville","Minnesota, usa",N/A,-*-, M.A Ministry$45.3K/Yr
"Maryville University, St. Louis","Missouri, usa",N/A,-*-, B.A/B.Sc Nursing$26.1K/Yr
"University of South Florida, St. Petersburg","Florida, usa",N/A,Estd. Year, M.S Conservation Biolo...$15.9K/Yr
"Eckerd College, St. Petersburg","Florida, usa",N/A,-*-, B.A International Busi...$43.9K/Yr
"North American University, Stafford","Texas, usa",N/A,Estd. Year, M.S Computer Science$19.9K/Yr
"Wagner College, Staten Island","New York, usa",N/A,-*-, M.S Accounting$21.1K/Yr
"Tarleton State University, Stephenville","Texas, usa",N/A,Estd. Year, M.S Quality and Engine...$13.5K/Yr
"Franciscan University of Steubenville, Steubenville","Ohio, usa",N/A,-*-, M.B.A$19.4K/Yr
"University of Wisconsin, Stevens Point","Wisconsin, usa",N/A,Estd. Year, M.S Natural Resources$18.6K/Yr
"Aquinas College, Grand Rapids","Michigan, usa",N/A,Estd. Year, M.Ed Teaching and Lear...$17.8K/Yr
"Sweet Briar College, Sweet Briar","Virginia, usa",N/A,-*-, M.A Teaching$11.1K/Yr
"New York College of Health Professions, Syosset","New York, usa",N/A,Estd. Year, B.P.S/M.Sc Health Scie...$18.7K/Yr
"College of Environmental Science and Forestry, Syracuse","New York, usa",N/A,-*-," M.S Monitoring, Analys...$23.1K/Yr"
"Le Moyne College, Syracuse","New York, usa",N/A,-*-, M.B.A$25.8K/Yr
"University of Puget Sound, Tacoma","Washington, usa",N/A,-*-, M.Ed Counseling$61K/Yr
"Pacific Lutheran University, Tacoma","Washington, usa",N/A,-*-, M.S Marketing Research$38.4K/Yr
"Faith International University & Faith Seminary, Tacoma","Washington, usa",N/A,Estd. Year, M.A Leadership Ministr...$20.2K/Yr
"Northeastern State University, Tahlequah","Oklahoma, usa",N/A,Estd. Year, M.S Library Media and ...$18K/Yr
"Washington Adventist University, Takoma Park","Maryland, usa",N/A,Estd. Year, M.B.A$15K/Yr
"South University, Tampa","Florida, usa",N/A,Estd. Year, M.S Information System...$16.2K/Yr
"Fairleigh Dickinson University, Teaneck","New Jersey, usa",N/A,-*-, M.S Cosmetic Science$40K/Yr
"University of Phoenix, Tempe","Arizona, usa",N/A,Estd. Year, M.A Cyber Security$20.9K/Yr
"University of Advancing Technology, Tempe","Arizona, usa",N/A,Estd. Year, M.S Technology Leaders...$17K/Yr
"Rose-Hulman Institute of Technology, Terre Haute","Indiana, usa",N/A,-*-, M.S Biomedical Enginee...$48.5K/Yr
"Nicholls State University, Thibodaux","Louisiana, usa",N/A,Estd. Year, M.B.A$6.8K/Yr
"California Lutheran University, Thousand Oaks","California, usa",N/A,-*-, M.S Information Techno...$30.8K/Yr
"Heidelberg University, Tiffin","Ohio, usa",N/A,Estd. Year, M.A Counseling$10.3K/Yr
"Tiffin University, Tiffin","Ohio, usa",N/A,Estd. Year, M.B.A Data Analytics$12.6K/Yr
"Washburn University, Topeka","Kansas, usa",N/A,Estd. Year, L.L.M Studies in Law -...$17.9K/Yr
"Troy University, Troy","Alabama, usa",N/A,Estd. Year, M.B.A Global Business ...$15K/Yr
"Walsh College, Troy","Michigan, usa",N/A,Estd. Year, M.S Marketing$14.5K/Yr
"University of Tennessee Space Institute, Tullahoma","Tennessee, usa",N/A,Estd. Year, M.A Engineering Manage...$18.8K/Yr
"Oral Roberts University, Tulsa","Oklahoma, usa",N/A,-*-, M.A Professional Couns...$10.8K/Yr
"California State University - Stanislaus, Turlock","California, usa",N/A,-*-, M.S Genetic Counseling$24.5K/Yr
"Tuskegee University, Tuskegee","Alabama, usa",N/A,Estd. Year, M.S Food and Nutrition...$19.2K/Yr
"University of Texas, Tyler","Texas, usa",N/A,Estd. Year, M.Sc Business Analytic...$48K/Yr
"Kean University, Union","New Jersey, usa",N/A,Estd. Year, M.S Biotechnology Scie...$22K/Yr
"Saginaw Valley State University, University Center","Michigan, usa",N/A,Estd. Year, M.S Health Administrat...$20.4K/Yr
"John Carroll University, University Heights","Ohio, usa",N/A,-*-, M.S Accountancy$20.5K/Yr
"Taylor University, Upland","Indiana, usa",N/A,-*-, B.Sc Computer Engineer...$35K/Yr
"Urbana University, Urbana","Ohio, usa",N/A,Estd. Year, M.S Business Psycholog...$20.1K/Yr
"Utica College, Utica","New York, usa",N/A,Estd. Year, M.S Data Science$24.9K/Yr
"Valdosta State University, Valdosta","Georgia, usa",N/A,Estd. Year, M.S Exercise Physiolog...$23.7K/Yr
"Valparaiso University, Valparaiso","Indiana, usa",N/A,-*-, M.S Analytics and Mode...$39K/Yr
"Santa Barbara Business College, Ventura","California, usa",N/A,Estd. Year, M.B.A$4.8K/Yr
"University of Houston, Victoria","Texas, usa",N/A,Estd. Year, M.S Computer Science$13.6K/Yr
"IGlobal University, Vienna","Virginia, usa",N/A,Estd. Year, M.S Information Techno...$10.8K/Yr
"Ohio Valley University, Vienna","West Virginia, usa",N/A,Estd. Year, B.Sc Business Administ...$21.7K/Yr
"Regent University, Virginia Beach","Virginia, usa",N/A,-*-, M.A Film Production$13.1K/Yr
"ECPI University, Richmond","Virginia, usa",N/A,Estd. Year, M.S Information System...$19.4K/Yr
"Bentley University, Waltham","Massachusetts, usa",N/A,-*-, M.S Business Analytics$46.2K/Yr
"University of Central Missouri, Warrensburg","Missouri, usa",N/A,Estd. Year, M.S Computer Science$17.9K/Yr
"Kogod School of Business, Washington","District of Columbia, usa",N/A,-*-, M.S Marketing$30.7K/Yr
"Gallaudet University, Washington","District of Columbia, usa",N/A,Estd. Year," M.S Hearing, Speech an...$18.2K/Yr"
"University of the District of Columbia, Washington","District of Columbia, usa",N/A,Estd. Year, M.S Computer Science$17.8K/Yr
"Washington and Jefferson College, Washington","Pennsylvania, usa",N/A,-*-, B.Sc Computing and Inf...$47.4K/Yr
"American University, Washington","District of Columbia, usa",N/A,-*-, M.S Marketing$30.7K/Yr
"Pontifical John Paul II Institute, Washington","District of Columbia, usa",N/A,Estd. Year, M.T.S Marriage and Fam...$9K/Yr
"National Defense University, Washington","District of Columbia, usa",N/A,Estd. Year, M.A Strategic Security...--
"Post University, Waterbury","Connecticut, usa",N/A,Estd. Year, B.Sc Criminal Justice$28.2K/Yr
"Carroll University, Waukesha","Wisconsin, usa",N/A,-*-, M.S Software Engineeri...$21.7K/Yr
"Wartburg College, Waverly","Iowa, usa",N/A,Estd. Year, M.A Music Therapy$38K/Yr
"William Paterson University of New Jersey, Wayne","New Jersey, usa",N/A,Estd. Year, M.B.A Music and Entert...$33.3K/Yr
"Wayne State College, Wayne","Nebraska, usa",N/A,Estd. Year, M.S Curriculum and Ins...$13.3K/Yr
"Southwestern Oklahoma State University, Weatherford","Oklahoma, usa",N/A,Estd. Year, M.S Management$16.9K/Yr
"Babson College, Wellesley","Massachusetts, usa",N/A,-*-, M.B.A Entrepreneurship$52.6K/Yr
"Wellesley College, Wellesley","Massachusetts, usa",N/A,-*-, B.Sc Computer Science$53.4K/Yr
"Gordon College, Wenham","Massachusetts, usa",N/A,-*-, B.A/B.Sc International...$37.4K/Yr
"University of Saint Joseph, West Hartford","Connecticut, usa",N/A,Estd. Year, B.A Social Sciences So...$38.5K/Yr
"University of New Haven, West Haven","Connecticut, usa",N/A, TOEFL 80 , M.Sc Criminal Justice$28.9K/Yr
"West Liberty University, West Liberty","West Virginia, usa",N/A,Estd. Year, B.Sc Digital Media Des...$15.8K/Yr
"Monmouth University, West Long Branch","New Jersey, usa",N/A,Estd. Year, M.S Software Engineeri...$21.4K/Yr
"Palm Beach Atlantic University, West Palm Beach","Florida, usa",N/A,Estd. Year, M.S Leadership$17.2K/Yr
"United States Military Academy at West Point, West Point","New York, usa",N/A,-*-, B.A/B.Sc German$22.1K/Yr
"Otterbein University, Westerville","Ohio, usa",N/A,-*-, B.Sc Physics Engineeri...$32K/Yr
"Westfield State University, Westfield","Massachusetts, usa",N/A,Estd. Year, M.S Criminal Justice$10.5K/Yr
"McDaniel College, Westminster","Colorado, usa",N/A,-*-, M.S Educational Leader...$15K/Yr
"Regis College, Weston","Massachusetts, usa",N/A,Estd. Year, M.S Nursing Leadership$33.7K/Yr
"Wheaton College Illinois, Wheaton","Illinois, usa",N/A,-*-, M.A Evangelism and Lea...$25.5K/Yr
"Wheaton College, Norton","Massachusetts, usa",N/A,-*-, B.Sc Neuroscience$52.3K/Yr
"Whittier College, Whittier","California, usa",N/A,-*-, B.A Business Administr...$45.7K/Yr
"Midwestern State University, Wichita Falls","Texas, usa",N/A,Estd. Year, M.A Exercise Physiolog...$29K/Yr
"Wilkes University, Wilkes-Barre","Pennsylvania, usa",N/A,Estd. Year, M.S Educational Develo...$14.7K/Yr
"King's College, Wilkes-Barre","Pennsylvania, usa",N/A,-*-, M.S Business$10.9K/Yr
"Lycoming College, Williamsport","Pennsylvania, usa",N/A,-*-, B.A/B.Sc Corporate Com...$39.4K/Yr
"Pennsylvania College of Technology, Williamsport","Pennsylvania, usa",N/A,Estd. Year, B.Sc Building Automati...$21.4K/Yr
"Eastern Connecticut State University, Willimantic","Connecticut, usa",N/A,Estd. Year, M.S Organizational Man...$25.1K/Yr
"Goldey-Beacom College, Wilmington","Delaware, usa",N/A,Estd. Year, M.S Finance$32.8K/Yr
"Widener University-Delaware Law School, Wilmington","Delaware, usa",N/A,Estd. Year, L.L.M Corporate Law an...$48.7K/Yr
"Asbury Theological Seminary, Wilmore","Kentucky, usa",N/A,Estd. Year, M.A Leadership$19.9K/Yr
"Shenandoah University, Winchester","Virginia, usa",N/A,-*-, M.B.A$26.7K/Yr
"Wingate University, Wingate","North Carolina, usa",N/A,Estd. Year, M.A Education in Educa...$10K/Yr
"Winona State University, Winona","Minnesota, usa",N/A,Estd. Year, M.S Organizational Lea...$18.3K/Yr
"Saint Mary's University of Minnesota, Winona","Minnesota, usa",N/A,-*-, M.A Management$15.3K/Yr
"Winston Salem State University, Winston-Salem","North Carolina, usa",N/A,Estd. Year, M.S Computer Science a...$14K/Yr
"University of North Carolina School of Arts, Winston-Salem","North Carolina, usa",N/A,Estd. Year, M.A Production and Pro...$22.8K/Yr
"Full Sail University, Winter Park","Florida, usa",N/A,Estd. Year, M.S Entertainment Busi...$35.3K/Yr
"Rollins College, Winter Park","Florida, usa",N/A,-*-, M.A Human Resources$13.2K/Yr
"The College of Wooster, Wooster","Ohio, usa",N/A,-*-, B.Sc Computer Science$50.2K/Yr
"University of Massachusetts Medical School - Worcester, Worcester","Massachusetts, usa",N/A,-*-, M.S Clinical Investiga...$59.4K/Yr
"Assumption College, Worcester","Massachusetts, usa",N/A,-*-, M.A School Counselling$20.7K/Yr
"Becker College, Worcester","Massachusetts, usa",N/A,Estd. Year, M.A Mental Health Coun...$19.2K/Yr
"Worcester State University, Worcester","Massachusetts, usa",N/A,Estd. Year, M.S Biotechnology$9.7K/Yr
"Saint Vladimir's Orthodox Theological Seminary, Yonkers","New York, usa",N/A,Estd. Year, M.A$12K/Yr
"York College of Pennsylvania, York","Nebraska, usa",N/A,Estd. Year, M.Ed Education Leaders...$19.2K/Yr
"Red Deer College, Red Deer","Alberta, canada",N/A, IELTS 6.5 , Bachelor of Applied Ar...$5.8K/Yr
"Bauhaus University, Weimar","Thuringia, germany",N/A,Estd. Year, M.A Media Art and Desi...--
"Berlin University of the Arts, Berlin","Berlin, germany",N/A,Estd. Year, M.A Design (Product De...--
"Cologne University of Music, Cologne","North Rhine-Westphalia, germany",N/A,Estd. Year, B.Mus Mandolin--
"University of Music and Performing Arts Munich, Munich","Bavaria, germany",N/A,Estd. Year, M.A Music Journalism i...--
"Hanns Eisler College, Berlin","Berlin, germany",N/A,Estd. Year, M.Mus Violin--
"Taylor's University, Subang Jaya","Selangor, malaysia",N/A,-*-, M.S Tourism$4K/Yr
"UCSI University, Kuala Lumpur","Kuala Lumpur, malaysia",N/A, IELTS 5.5 , M.Sc Biotechnology wit...$9K/Yr
"Konstfack University College of Arts, Crafts and Design, Stockholm","Uppland, sweden",N/A,Estd. Year, M.A Visual Communicati...$28.9K/Yr
"Royal College of Music, Stockholm","Uppland, sweden",N/A,Estd. Year, M.A Nordic Performance...$27.8K/Yr
"Maastricht School of Management, Maastricht","Limburg, netherlands",N/A, GMAT 600 | TOEFL 88 , M.B.A$18.1K/Yr
"Breda University of Applied Sciences, Breda","North Brabant, netherlands",N/A,Estd. Year, M.A Tourism Destinatio...$11.5K/Yr
"Royal Academy of Art, The Hague, The Hague","South Holland, netherlands",N/A,Estd. Year, M.A Type and Media$7.4K/Yr
"Royal Central School of Speech & Drama, London","England, uk",N/A, IELTS 7.0 , M.F.A Scenography$26.1K/Yr
"Falmouth College of Arts, Falmouth","England, uk",N/A, IELTS 6.5 , M.A Illustration - Aut...$17.8K/Yr
"Glasgow School of Art, Glasgow","Scotland, uk",N/A,Estd. Year, M.A Design in Graphics$22.3K/Yr
"Harper Adams University, Newport","Wales, uk",N/A,Estd. Year, M.S International Agri...$15.8K/Yr
"Liverpool School of Tropical Medicine, Liverpool","England, uk",N/A, IELTS 6.5 , M.Sc International Pub...$22.8K/Yr
"Ravensbourne University London, London","England, uk",N/A, IELTS 6.0 , Master Architecture$10.3K/Yr
"Royal Academy of Music, London","England, uk",N/A, IELTS 5.5 , M.A Musical Theatre$25.8K/Yr
"Royal College of Art, London","England, uk",N/A,Estd. Year, M.Res RCA Communicatio...$41.4K/Yr
"Royal College of Music, London","England, uk",N/A, IELTS 5.5 , Master Composition$33.1K/Yr
"University for the Creative Arts, Farnham","England, uk",N/A, IELTS 6.5 ," M.A Design, Innovation...$22.1K/Yr"
"University of Gloucestershire, Cheltenham","England, uk",N/A, IELTS 6.0 , B.A Journalism$19.1K/Yr
"University of Sunderland, Sunderland","England, uk",N/A,Estd. Year, M.S Nursing$16.2K/Yr
"University of the Arts London, London","England, uk",N/A,Estd. Year, M.A Psychology for Fas...$22.6K/Yr
"Harvard Law School, Cambridge","Massachusetts, usa",N/A, TOEFL 109 , L.L.M$65.9K/Yr
"University of Puerto Rico, Mayaguez","Puerto Rico, usa",N/A,-*-, Master Mechanical engi...$6.9K/Yr
"Frankfurt School of Finance & Management, Frankfurt am Main","Hesse, germany",N/A, TOEFL 90 , M.B.A$42.2K/Yr
"United International Business Schools, Amsterdam","North Holland, netherlands",N/A, TOEFL 79 , M.B.A$16K/Yr
"International School of Management, Dortmund","North Rhine-Westphalia, germany",N/A, IELTS 6 , M.A International Busi...$13.6K/Yr
"Munich Business School, Munich","Bavaria, germany",N/A, IELTS 6.5 , M.A International Busi...$8.9K/Yr
"ESMT Berlin, Berlin","Berlin, germany",N/A, TOEFL 95 , M.B.A$48.3K/Yr
"GCU London, London","England, uk",N/A,Estd. Year, M.S Public Health$16.2K/Yr
"Glasgow School for Business and Society, Glasgow","Scotland, uk",N/A, IELTS 6.0 , M.Sc International Bus...$17.5K/Yr
"College of Health and Social Care, University of Derby, Derby","England, uk",N/A,Estd. Year, M.S Cognitive Behaviou...$7.7K/Yr
"Henley Business School, Henley-on-Thames","England, uk",N/A,Estd. Year, M.B.A Henley's Full-ti...$44.2K/Yr
"INTO University of East Anglia, Norwich","England, uk",N/A,Estd. Year, Pre-Bachelor Internati...$23.9K/Yr
"INTO University of Exeter, Exeter","England, uk",N/A, IELTS 6.5 , M.Sc Applied Psycholog...$33.1K/Yr
"Lancaster University - Management School, Lancaster","England, uk",N/A, IELTS 7 , M.Sc Management$25.5K/Yr
"Loughborough University London, London","England, uk",N/A, IELTS 6.5 ," M.Sc Entrepreneurship,...$34.2K/Yr"
"Newcastle University Business School, Newcastle upon Tyne","England, uk",N/A, IELTS 6.5 ," M.A Arts, Business and...$25.3K/Yr"
"School of Advanced Study, University of London, London","England, uk",N/A, IELTS 7.0 ," M.A Cultural, Intellec...$17.6K/Yr"
"University of Derby Arts, Humanities and Education College, Derby","England, uk",N/A,Estd. Year, B.A Business Managemen...$15K/Yr
"University of London, London","England, uk",N/A, GMAT 701 | TOEFL 92 , M.B.A$126.1K/Yr
"College of Engineering, Carnegie Mellon University, Pittsburgh","Pennsylvania, usa",N/A, GRE 316 | TOEFL 102 , M.Sc Mechanical Engine...$53K/Yr
"College of Fine Arts, Carnegie Mellon University, Pittsburgh","Pennsylvania, usa",N/A,Estd. Year, M.Des$42K/Yr
"Blue Mountains International Hotel Management School, Sydney","New South Wales, australia",N/A,Estd. Year, M.B.A International Ho...$21.3K/Yr
"Redekop School of Business, Winnipeg","Manitoba, canada",N/A, TOEFL 80 , M.B.A$13.5K/Yr
"Carnegie Mellon University, Adelaide","South Australia, australia",N/A, TOEFL 102 , M.Sc Business Intellig...$32.6K/Yr
"University of Moncton, Shippagan Campus, Moncton","NewBrunswick, canada",N/A, TOEFL 83 , B.Eng Electrical Engin...$8.8K/Yr
"University of Moncton, Edmundston Campus, Moncton","NewBrunswick, canada",N/A,Estd. Year, B.Sc/B.Ed Mathematics$8.9K/Yr
"Engineering Institute of Technology, Perth","Western Australia, australia",N/A, IELTS 6 , M.Eng Mechanical Engin...$15.6K/Yr
"James Cook University (Brisbane Campus), Brisbane","Queensland, australia",N/A, TOEFL 86 , M.B.A$22.6K/Yr
"Kaplan Business School, Adelaide","South Australia, australia",N/A, IELTS 6.0 , Master Business Analyt...$21.5K/Yr
"S P Jain School of Global Management, Sydney","New South Wales, australia",N/A,Estd. Year, M.B.A$33.2K/Yr
"TAFE South Australia, Adelaide","South Australia, australia",N/A, IELTS 6.0 ," Bachelor Tourism, Hosp...$10.3K/Yr"
"The University of Notre Dame, Fremantle","Western Australia, australia",N/A, IELTS 6.5 , M.Arch$21K/Yr
"Torrens University Australia, Adelaide","South Australia, australia",N/A,Estd. Year, M.B.A International Ho...$21.3K/Yr
"Taylors College Perth, Perth","Western Australia, australia",N/A, TOEFL 70 , Diploma Science$20.4K/Yr
"FH Aachen - University of Applied Sciences, Aachen","North Rhine-Westphalia, germany",N/A,Estd. Year, M.Eng Electrical Engin...--
"Aalen University, Aalen","Baden-Wurttemberg, germany",N/A,Estd. Year, M.Sc Machine learning ...$486/Yr
"Ansbach University of Applied Sciences, Ansbach","Bavaria, germany",N/A,Estd. Year, M.Eng Energy Managemen...--
"IUBH University of Applied Sciences, Bad Honnef","North Rhine-Westphalia, germany",N/A, IELTS 6.0 , M.A Computer Science$17.7K/Yr
"Bard College Berlin, Berlin","Berlin, germany",N/A, IELTS 7 ," B.A Economics, Politic...$31.5K/Yr"
"BBW University of Applied Sciences, Berlin","Berlin, germany",N/A, IELTS 5.5 , M.Sc International Tec...$4.1K/Yr
"Berlin School of Business and Innovation, Berlin","Berlin, germany",N/A, IELTS 6 , M.B.A$9.7K/Yr
"Berlin School of Economics and Law, Berlin","Berlin, germany",N/A, IELTS 6 , M.Sc International Bus...$15.7K/Yr
"Beuth University of Applied Sciences, Berlin","Berlin, germany",N/A, TOEFL 80 , M.Eng Mechanical Engin...--
"BIMM Institute Berlin, Berlin","Berlin, germany",N/A, IELTS 6.5 , M.A Learning and Teach...$17.8K/Yr
"CODE University of Applied Sciences, Berlin","Berlin, germany",N/A,Estd. Year, B.A Product Management$12.1K/Yr
"EBC University of Applied Sciences, Berlin","Berlin, germany",N/A, TOEFL 87 , B.A International Busi...$12K/Yr
"GISMA Business School, Hannover","Lower Saxony, germany",N/A, IELTS 6.5 , M.Sc Strategic Busines...$16.6K/Yr
"Hertie School of Governance, Berlin","Berlin, germany",N/A,Estd. Year, Master International A...$17.5K/Yr
"HTW Berlin, Berlin","Berlin, germany",N/A,Estd. Year, M.Sc Mechanical Engine...--
"Macromedia University of Applied Sciences, Munich","Bavaria, germany",N/A,Estd. Year, M.A Fashion Management$6.6K/Yr
"SRH Hochschule Berlin, Berlin","Berlin, germany",N/A, IELTS 6.5 , M.A International Mana...$11.7K/Yr
"Touro College Berlin, Berlin","Berlin, germany",N/A, IELTS 6.5 , M.B.A--
"Anhalt University of Applied Sciences, Bernburg","Saxony, germany",N/A,Estd. Year, M.A International Trad...--
"Biberach University of Applied Science, Biberach an der Riss","Baden-Wurttemberg, germany",N/A,Estd. Year, Master Engineering Man...--
"Coburg University of Applied Sciences and Arts, Coburg","Bavaria, germany",N/A, TOEFL 550 , M.Eng Analytical Instr...$7.8K/Yr
"Darmstadt University of Applied Sciences, Darmstadt","Hesse, germany",N/A, IELTS 5.0 , M.Sc Electrical Engine...--
"Deggendorf Institute of Technology, Deggendorf","Bavaria, germany",N/A,Estd. Year, M.Sc Electrical Engine...--
"Dresden International University, Dresden","Saxony, germany",N/A,Estd. Year, M.B.A Logistics$10K/Yr
"University of Sustainable Development Eberswalde, Eberswalde","Brandenburg, germany",N/A,Estd. Year, M.Sc Organic Agricultu...--
"Nordakademie Graduate School, Hamburg","Hamburg, germany",N/A,Estd. Year, M.Sc Business Informat...$11K/Yr
"University of Erfurt, Erfurt","Thuringia, germany",N/A, IELTS 6.5 ," M.A Economics, Law and...--"
"FOM University of Applied Sciences, Essen","North Rhine-Westphalia, germany",N/A, TOEFL 84 , M.A Economics and Mana...$6.9K/Yr
"Esslingen University of Applied Sciences, Esslingen am Neckar","Baden-Wurttemberg, germany",N/A, TOEFL 71 , M.Eng Automotive Engin...$3.3K/Yr
"Flensburg University of Applied Sciences, Flensburg","Schleswig-Holstein, germany",N/A,Estd. Year, M.Sc Automation Engine...--
"Zeppelin University, Friedrichshafen","Baden-Wurttemberg, germany",N/A,Estd. Year, M.A General Management$11.6K/Yr
"Fulda University of Applied Sciences, Fulda","Hesse, germany",N/A, TOEFL 85 , M.Sc Global Software D...$999/Yr
"Furtwangen University, Furtwangen im Schwarzwald","Baden-Wurttemberg, germany",N/A,Estd. Year," M.Sc Risk, Reliability...$3.3K/Yr"
"Brand Academy - University of Applied Sciences, Hamburg","Hamburg, germany",N/A,Estd. Year, M.A Marketing and Inno...--
"HafenCity University Hamburg, Hamburg","Hamburg, germany",N/A,Estd. Year, M.Sc Civil Engineering--
"Hamburg School of Business Administration, Hamburg","Hamburg, germany",N/A,Estd. Year, E.M.B.A `$32.4K/Yr
"Hamburg University of Applied Sciences, Hamburg","Hamburg, germany",N/A, IELTS 5.5 , M.Sc Production Techno...--
"Kuehne Logistics University, Hamburg","Hamburg, germany",N/A, IELTS 6.5 , M.Sc Management$14K/Yr
"Northern Institute of Technology Management, Hamburg","Hamburg, germany",N/A, IELTS 6.5 , M.A Technology Managem...$25.4K/Yr
"West Coast University of Applied Sciences, Heide","Schleswig-Holstein, germany",N/A,Estd. Year, M.Sc Micro-Electronic ...--
"Heilbronn University, Heilbronn","Baden-Wurttemberg, germany",N/A, IELTS 6 , M.A International Busi...--
"Hof University of Applied Sciences, Hof","Bavaria, germany",N/A,Estd. Year, M.Eng Mechanical Engin...$6.9K/Yr
"HECTOR School of Engineering & Management, Karlsruhe","Baden-Wurttemberg, germany",N/A, IELTS 6.5 , M.Sc Mobility Systems ...$3.3K/Yr
"Karlsruhe University of Applied Sciences, Karlsruhe","Baden-Wurttemberg, germany",N/A,Estd. Year, M.Sc Automotive Engine...--
"Kempten University of Applied Sciences, Kempten im Allgau","Bavaria, germany",N/A,Estd. Year, M.Eng Automation Techn...--
"Kiel University of Applied Sciences, Kiel","Schleswig-Holstein, germany",N/A, TOEFL 70 , M.Eng Electrical Techn...--
"Rhein-Waal University of Applied Sciences, Kleve","North Rhine-Westphalia, germany",N/A, IELTS 6.5 , M.Sc Mechanical Engine...--
"Cologne Business School, Cologne","North Rhine-Westphalia, germany",N/A, IELTS 6.5 , M.A International Tour...$9.3K/Yr
"Konstanz University of Applied Sciences, Konstanz","Baden-Wurttemberg, germany",N/A,Estd. Year, M.A Architecture--
"Niederrhein University of Applied Sciences, Krefeld","North Rhine-Westphalia, germany",N/A, TOEFL 83 , M.A International Busi...--
"Landshut University of Applied Sciences, Landshut","Bavaria, germany",N/A, IELTS 6.5 , M.Eng Engineering and ...--
"Leipzig University of Applied Sciences, Leipzig","Saxony, germany",N/A,Estd. Year, M.Arch--
"Ostwestfalen - Lippe University of Applied Sciences, Lemgo","North Rhine-Westphalia, germany",N/A,Estd. Year, M.Sc Electrical Engine...--
"Luebeck University of Applied Sciences, Lubeck","Schleswig-Holstein, germany",N/A,Estd. Year, M.Sc Mechanical Engine...--
"Mainz University of Applied Sciences, Mainz","Rhineland-Palatinate, germany",N/A, TOEFL 79 , M.Sc Business Administ...--
"Mannheim Business School, Mannheim","Baden-Wurttemberg, germany",N/A, GMAT 600 | TOEFL 95 , M.B.A$43.8K/Yr
"Neu Ulm University of Applied Sciences, Neu-Ulm","Bavaria, germany",N/A,Estd. Year, M.Sc Management--
"Muenster University of Applied Sciences, Munster","North Rhine-Westphalia, germany",N/A,Estd. Year, M.Sc Civil Engineering$660/Yr
"New European College, Munich","Bavaria, germany",N/A, IELTS 6.5 , M.B.A$13.5K/Yr
"Nurtingen-Geislingen University, Nurtingen","Baden-Wurttemberg, germany",N/A, GMAT 500 | IELTS 6.5 , M.B.A International  M...$3.3K/Yr
"Osnabruck University of Applied Sciences, Osnabruck","Lower Saxony, germany",N/A, IELTS 6.5 , M.A International Busi...--
"Hochschule Pforzheim, Pforzheim","Baden-Wurttemberg, germany",N/A,Estd. Year, M.A Transportation Des...$178/Yr
"Regensburg University of Applied Sciences, Regensburg","Bavaria, germany",N/A,Estd. Year, M.Eng Industrial Engin...--
"Reutlingen University, Reutlingen","Baden-Wurttemberg, germany",N/A,Estd. Year, B.Sc International Bus...$3.2K/Yr
"Rosenheim Technical University of Applied Sciences, Rosenheim","Bavaria, germany",N/A,Estd. Year, M.Eng Management and E...--
"Saarland University of Applied Sciences, Saarbrucken","Saarland, germany",N/A,Estd. Year, M.Sc Industrial Engine...--
"Stralsund University of Applied Sciences, Stralsund","Mecklenburg-Vorpommern, germany",N/A,Estd. Year, M.Sc Electrical Engine...--
"EBS University, Oestrich-Winkel","Hesse, germany",N/A,Estd. Year, M.B.A$26.1K/Yr
"Wismar University of Applied Sciences, Technology, Business and Design, Wismar","Mecklenburg-Vorpommern, germany",N/A, TOEFL 550 , M.A Architecture--
"Worms University of Applied Sciences, Worms","Rhineland-Palatinate, germany",N/A,Estd. Year, M.Sc Business Informat...--
"Zittau/Gorlitz University of Applied Sciences, Zittau","Saxony, germany",N/A,Estd. Year, M.Eng Mechanical Engin...--
"The Hague University of Applied Sciences, The Hague","South Holland, netherlands",N/A, IELTS 6.0 , M.B.A$22.2K/Yr
"Alliance Manchester Business School, Manchester","England, uk",N/A, GMAT 550 | IELTS 7 , M.B.A$58K/Yr
