UNIVERSITY NAME,LOCATION,RATING,SCORES,PRICE
"George Washington University, Washington","District of Columbia, usa",5.1/10 , IELTS 6.0 , M.Eng Computer Enginee...$32.2K/Yr
"Maastricht University, Maastricht","Limburg, netherlands",5.1/10 , GMAT 550 , Master International B...$15.3K/Yr
"University of East Anglia, Norwich","England, uk",5.1/10 ,-*-, M.S International Busi...$20.2K/Yr
"University of Passau, Passau","Bavaria, germany",5.1/10 ,-*-, M.Sc Computer Science$320/Yr
"University of Bath, Bath","England, uk",5.1/10 ,-*-, M.S International Mana...$26.1K/Yr
"California State University, Fullerton","California, usa",5.0/10 , IELTS 6.5 , M.S Computer Science$19.3K/Yr
"Colorado School of Mines, Golden","Colorado, usa",5.0/10 ,-*-, M.S Mining and Earth S...$37.3K/Yr
"Technical University Ilmenau, Ilmenau","Thuringia, germany",5.0/10 , TOEFL 79 , M.Sc Electrical Engine...--
"Boise State University, Boise","Idaho, usa",5.0/10 ,-*-, M.B.A$25.2K/Yr
"Binghamton University, Binghamton","New York, usa",5.0/10 , IELTS 6.5 , M.S Industrial and Sys...$22.6K/Yr
"University of Dundee, Dundee","Scotland, uk",5.0/10 , IELTS 6.5 , M.Sc Management$23.6K/Yr
"Queen's University, Kingston","Ontario, canada",5.0/10 , PTE 65 , M.Sc Computing Science$14.6K/Yr
"University of California, Santa Cruz","California, usa",5.0/10 ,-*-, M.S Computer Science$15.1K/Yr
"Macquarie University, Sydney","New South Wales, australia",5.0/10 , IELTS 6.5 , M.B.A$22.8K/Yr
"Western University, London","Ontario, canada",5.0/10 , TOEFL 83 , M.Sc Computer Science$10K/Yr
"St George's, University of London, London","England, uk",5.0/10 ,-*-, M.A Genomic Medicine$27K/Yr
"Nova Southeastern University, Fort Lauderdale","Florida, usa",5.0/10 , GRE 297 | TOEFL 80 , M.Sc Information Syste...$25.5K/Yr
"Syracuse University, Syracuse","New York, usa",5.0/10 , GRE 310 | IELTS 6.5 , M.Sc Computer Engineer...$48.6K/Yr
"Clark University, Worcester","Massachusetts, usa",5.0/10 ,-*-, M.S Business Analytics$54.1K/Yr
"Royal Holloway, University of London, Egham","England, uk",4.9/10 ,-*-, M.S Electronic Enginee...$24K/Yr
"California State University, Northridge","California, usa",4.9/10 ,-*-," M.S Tourism, Hospitali...$10.4K/Yr"
"Dalhousie University, Halifax","Nova Scotia, canada",4.9/10 , GRE 300 | TOEFL 92 , M.B.A Financial Servic...$14.2K/Yr
"University of Oregon, Eugene","Oregon, usa",4.9/10 , GMAT 690 | IELTS 7 , M.B.A$39.3K/Yr
"Drexel University, Philadelphia","Pennsylvania, usa",4.9/10 ,-*-, M.S Television Managem...--
"Temple University, Philadelphia","Pennsylvania, usa",4.9/10 , TOEFL 79 , E.M.B.A$37.6K/Yr
"University of Wollongong, Wollongong","New South Wales, australia",4.9/10 , TOEFL 86 , Master Financial Manag...$16.2K/Yr
"Laval University, Quebec City","Quebec, canada",4.9/10 , TOEFL 64 , M.Sc Computer Science$11.1K/Yr
"University of Kansas, Lawrence","Kansas, usa",4.9/10 ,-*-, M.S Engineering Manage...$30.7K/Yr
"Louisiana State University, Baton Rouge","Louisiana, usa",4.9/10 ,-*-, M.S Analytics$29.4K/Yr
"University of Oklahoma, Norman","Oklahoma, usa",4.9/10 , GRE 320 | TOEFL 79 , M.Sc Computer Science$20.5K/Yr
"Queensland University of Technology, Brisbane","Queensland, australia",4.9/10 , PTE 58 , M.Bus International Bu...$22.7K/Yr
"University of South Carolina, Columbia","South Carolina, usa",4.9/10 ,-*-, M.S Computer Science a...$21.9K/Yr
"Wake Forest University, Winston-Salem","North Carolina, usa",4.9/10 ,-*-, M.S Computer Science$38.6K/Yr
"University of Canterbury, Christchurch","South Island, new-zealand",4.8/10 ,-*-, M.S Computer Science$36.8K/Yr
"Brandeis University, Waltham","Massachusetts, usa",4.8/10 ,-*-, M.Sc Finance$50.2K/Yr
"Simon Fraser University, Burnaby","British Columbia, canada",4.8/10 , GRE 300 | TOEFL 88 , M.Sc Computing Science$11.9K/Yr
"College of William & Mary, Williamsburg","Virginia, usa",4.8/10 ,-*-, M.S Computer Science$33.4K/Yr
"University of Manitoba, Winnipeg","Manitoba, canada",4.8/10 , GMAT 600 | TOEFL 100 , M.Sc Management$7.4K/Yr
"James Cook University, Townsville","Queensland, australia",4.8/10 , TOEFL 86 , M.B.A$22.6K/Yr
"Iowa State University, Ames","Iowa, usa",4.8/10 , TOEFL 79 , M.Sc Computer Science$29.5K/Yr
"University of Connecticut, Storrs","Connecticut, usa",4.8/10 ,-*-, M.S Business Analytics...$18.5K/Yr
"University of Tennessee, Knoxville","Tennessee, usa",4.8/10 , TOEFL 80 , M.Sc Mechanical Engine...$31.8K/Yr
"Ruhr University Bochum, Bochum","North Rhine-Westphalia, germany",4.8/10 , IELTS 6 , M.Sc Computational Eng...--
"University of Houston, Houston","Texas, usa",4.8/10 , GMAT 610 | TOEFL 100 , M.B.A$75K/Yr
"University of Alaska, Fairbanks","Alaska, usa",4.8/10 ,-*-, M.B.A$20.3K/Yr
"University of Sussex, Brighton","England, uk",4.8/10 ,-*-, M.B.A$27.6K/Yr
"University of Minnesota- Duluth, Duluth","Minnesota, usa",4.8/10 ,-*-, M.Sc Computer Science ...$28.7K/Yr
"University of Surrey, Guildford","England, uk",4.8/10 ,-*-, M.S Electronic Enginee...$25.9K/Yr
"Hofstra University, Hempstead","New York, usa",4.8/10 , IELTS 6.5 , M.Sc Computer Science$42.9K/Yr
"University of Delaware, Newark","Delaware, usa",4.7/10 , GRE 308 | TOEFL 100 , M.Sc Data Science$56.9K/Yr
"University of Vermont, Burlington","Vermont, usa",4.7/10 ,-*-, M.S Complex Systems an...$44.9K/Yr
"University of Massachusetts, Lowell","Massachusetts, usa",4.7/10 , IELTS 6.5 , M.S Computer Science$26.3K/Yr
"Universiti Sains Malaysia, George Town","Penang, malaysia",4.7/10 ,-*-, M.A Clinical Pharmacy$6K/Yr
"University of Victoria, Victoria","British Columbia, canada",4.7/10 , GRE 317 | TOEFL 90 , M.Eng Mechanical Engin...$3.8K/Yr
"George Mason University, Fairfax","Virginia, usa",4.7/10 , IELTS 6.5 , M.Sc Information Syste...$44.8K/Yr
"San Jose State University, San Jose","California, usa",4.7/10 ,-*-," M.S Engineering, conce...$16.3K/Yr"
"University of Technology Sydney, Sydney","New South Wales, australia",4.7/10 , TOEFL 94 , M.Pharm$28.9K/Yr
"University of Ottawa, Ottawa","Ontario, canada",4.7/10 , GMAT 570 | IELTS 7 , M.B.A$51K/Yr
"Rensselaer Polytechnic Institute, Troy","New York, usa",4.7/10 ,-*-, M.S Information Techno...$55.5K/Yr
"Oregon State University, Corvallis","Oregon, usa",4.7/10 , IELTS 6.5 , M.Eng Computer Science$22K/Yr
"University of Georgia, Athens","Georgia, usa",4.7/10 , GRE 297 | TOEFL 80 , M.Sc Artificial Intell...$25.8K/Yr
"Wayne State University, Detroit","Michigan, usa",4.7/10 , GRE 294 | TOEFL 79 , M.Sc Computer Science$44.1K/Yr
"University of Konstanz, Konstanz","Baden-Wurttemberg, germany",4.7/10 , TOEFL 90 , M.Sc Computer and Info...$3.3K/Yr
"University of Maryland, Baltimore","Maryland, usa",4.7/10 , TOEFL 79 , M.Sc Nursing$43.8K/Yr
"University of South Australia, Adelaide","South Australia, australia",4.6/10 , PTE 6.5 , Master Data Science$26.8K/Yr
"Universiti Teknologi Malaysia, Skudai","Johor, malaysia",4.6/10 ,-*-, M.S Tourism Planning$7.6K/Yr
"University of Trier, Trier","Rhineland-Palatinate, germany",4.6/10 , IELTS 6.0 , M.Sc Data Science--
"RWTH Business School, Aachen","North Rhine-Westphalia, germany",4.6/10 ,-*-, M.S Data Analytics and...$17K/Yr
"University of Cologne, Cologne","North Rhine-Westphalia, germany",4.6/10 ,-*-, M.Sc Business Administ...$621/Yr
"Boston College, Chestnut Hill","Massachusetts, usa",4.6/10 , GMAT 640 | TOEFL 90 , M.B.A$53.2K/Yr
"Griffith University, Brisbane","Queensland, australia",4.6/10 , GRE 304 | TOEFL 79 , Master Biotechnology$26.1K/Yr
