UNIVERSITY NAME,LOCATION,RATING,SCORES,PRICE,GREGMAT,IELTSTOEFL
American Public University Charles Town,West Virginia usa,NA,Estd. Year,10,Estd. Year,
Eastern Illinois University Charleston,Illinois usa,NA,Estd. Year,12,Estd. Year,
Citadel - Military College of South Carolina Charleston,South Carolina usa,NA,N/A,46,N/A,
University of Charleston Charleston,West Virginia usa,NA,N/A,29,N/A,
University of Wisconsin Whitewater,Wisconsin usa,NA,Estd. Year,18,Estd. Year,
Queens University of Charlotte Charlotte,North Carolina usa,NA,N/A,21,N/A,
Eastern Washington University Cheney,Washington usa,NA,Estd. Year,23,Estd. Year,
Widener University Chester,Pennsylvania usa,NA,N/A,20,N/A,
Washington College Chestertown,Maryland usa,NA,N/A,47,N/A,
Pine Manor College Chestnut Hill,Massachusetts usa,NA,Estd. Year,12,Estd. Year,
Saint Xavier University Chicago,Illinois usa,NA,Estd. Year,30,Estd. Year,
Roosevelt University Chicago,Illinois usa,NA,Estd. Year,20,Estd. Year,
Northeastern Illinois University Chicago,Illinois usa,NA,Estd. Year,14,Estd. Year,
University of Chicago Booth School of Business Chicago,Illinois usa,NA, GMAT 570 | TOEFL 100 ,72, GMAT 570 , TOEFL 100 
Columbia College Chicago Chicago,Illinois usa,NA,Estd. Year,36,Estd. Year,
School of Art Institute of Chicago Chicago,Illinois usa,NA,Estd. Year,51,Estd. Year,
North Park University Chicago,Illinois usa,NA,Estd. Year,18,Estd. Year,
Chicago Theological Seminary Chicago,Illinois usa,NA,Estd. Year,20,Estd. Year,
John Marshall Law School Chicago,Illinois usa,NA,Estd. Year,46,Estd. Year,
Robert Morris University - Illinois Chicago,Illinois usa,NA,Estd. Year,15,Estd. Year,
Kendall College Chicago,Illinois usa,NA,Estd. Year,32,Estd. Year,
Elms College Chicopee,Massachusetts usa,NA,Estd. Year,13,Estd. Year,
Xavier University Cincinnati,Ohio usa,NA, GRE 297 | TOEFL 79 ,20, GRE 297 , TOEFL 79 
Claremont Graduate University Claremont,California usa,NA,N/A,59,N/A,
Claremont School of Theology Claremont,California usa,NA,Estd. Year,25,Estd. Year,
Keck Graduate Institute Claremont,California usa,NA,Estd. Year,38,Estd. Year,
Harvey Mudd College Claremont,California usa,NA,N/A,56,N/A,
Pitzer College Claremont,California usa,NA,N/A,54,N/A,
Rogers State University Claremore,Oklahoma usa,NA,Estd. Year,16,Estd. Year,
Clarion University of Pennsylvania Clarion,Pennsylvania usa,NA,Estd. Year,23,Estd. Year,
Clarks Summit University Clarks Summit,Pennsylvania usa,NA,Estd. Year,16,Estd. Year,
Austin Peay State University Clarksville,Tennessee usa,NA,Estd. Year,19,Estd. Year,
Delta State University Cleveland,Mississippi usa,NA,Estd. Year,6.4,Estd. Year,
Cleveland Institute of Music Cleveland,Ohio usa,NA,Estd. Year,39,Estd. Year,
Lee University Cleveland,Tennessee usa,NA,Estd. Year,21,Estd. Year,
Mississippi College Clinton,Mississippi usa,NA,N/A,18,N/A,
Hamilton College Clinton,New York usa,NA,N/A,54,N/A,
Presbyterian College Clinton,South Carolina usa,NA,N/A,35,N/A,
Saint Michael's College Colchester,Vermont usa,NA,N/A,45,N/A,
Ursinus College Collegeville,Pennsylvania usa,NA,N/A,18,N/A,
Colorado Technical University Colorado Springs,Colorado usa,NA,Estd. Year,14,Estd. Year,
Colorado College Colorado Springs,Colorado usa,NA,N/A,55,N/A,
Columbia International University Columbia,South Carolina usa,NA,Estd. Year,10,Estd. Year,
Capital University Columbus,Ohio usa,NA,N/A,18,N/A,
Columbus State University Columbus,Georgia usa,NA,Estd. Year,19,Estd. Year,
Mississippi University for Women Columbus,Mississippi usa,NA,Estd. Year,6.8,Estd. Year,
Ohio Dominican University Columbus,Ohio usa,NA,Estd. Year,24,Estd. Year,
Columbus College of Art and Design Columbus,Georgia usa,NA,Estd. Year,35,Estd. Year,
Franklin University Columbus,Ohio usa,NA, TOEFL 79 ,20, TOEFL 79 ,
Texas A&M University Commerce,Texas usa,NA,Estd. Year,19,Estd. Year,
Coastal Carolina University Conway,South Carolina usa,NA,Estd. Year,19,Estd. Year,
Hendrix College Conway,Arkansas usa,NA,N/A,42,N/A,
University of Central Arkansas Conway,Arkansas usa,NA,Estd. Year,21,Estd. Year,
University of Miami Online Coral Gables,Florida usa,NA, TOEFL 80 ,63, TOEFL 80 ,
Texas A&M University Corpus Christi,Texas usa,NA,Estd. Year,35,Estd. Year,
Suny Cortland Cortland,New York usa,NA,Estd. Year,14,Estd. Year,
Vanguard University Costa Mesa,California usa,NA,N/A,19,N/A,
Wabash College Crawfordsville,Indiana usa,NA,N/A,43,N/A,
Doane University Crete,Nebraska usa,NA,N/A,34,N/A,
Holy Apostles Cromwell,Connecticut usa,NA,Estd. Year,15,Estd. Year,
Western Carolina University Cullowhee,North Carolina usa,NA,Estd. Year,20,Estd. Year,
Antioch University Yellow Springs,Ohio usa,NA,Estd. Year,21,Estd. Year,
University of North Georgia Dahlonega,Georgia usa,NA,N/A,21,N/A,
Dallas Baptist University Dallas,Texas usa,NA,N/A,30,N/A,
Dallas Theological Seminary Dallas,Texas usa,NA,Estd. Year,17,Estd. Year,
Western Connecticut State University Danbury,Connecticut usa,NA,Estd. Year,26,Estd. Year,
Centre College Danville,Kentucky usa,NA,N/A,55,N/A,
Saint Ambrose University Davenport,Iowa usa,NA,Estd. Year,28,Estd. Year,
Davidson College Davidson,North Carolina usa,NA,N/A,51,N/A,
Omega Graduate School Dayton,Tennessee usa,NA,Estd. Year,13,Estd. Year,
St. Norbert College De Pere,Wisconsin usa,NA,N/A,38,N/A,
University of Michigan Dearborn,Michigan usa,NA, IELTS 6.5 ,20, IELTS 6.5 ,
Millikin University Decatur,Illinois usa,NA,N/A,25,N/A,
Agnes Scott College Decatur,Georgia usa,NA,N/A,42,N/A,
Luther College Decorah Decorah,Iowa usa,NA,N/A,41,N/A,
Trinity International University Deerfield,Illinois usa,NA,Estd. Year,17,Estd. Year,
Stetson University DeLand,Florida usa,NA,N/A,26,N/A,
Ohio Wesleyan University Delaware,Ohio usa,NA,N/A,46,N/A,
Texas Woman's University Denton,Texas usa,NA,N/A,20,N/A,
Metropolitan State University Denver,Colorado usa,NA,Estd. Year,17,Estd. Year,
Regis University Denver,Colorado usa,NA,N/A,25,N/A,
Highline College Des Moines,Washington usa,NA,Estd. Year,20,Estd. Year,
Drake University Des Moines,Iowa usa,NA,N/A,42,N/A,
University of Detroit Mercy Detroit,Michigan usa,NA,Estd. Year,47,Estd. Year,
College for Creative Studies Detroit,Michigan usa,NA,Estd. Year,48,Estd. Year,
Mercy College New York Dobbs Ferry,New York usa,NA,Estd. Year,25,Estd. Year,
Millennia Atlantic University Doral,Florida usa,NA,Estd. Year,16,Estd. Year,
Georgia Central University Atlanta,Georgia usa,NA,Estd. Year,15,Estd. Year,
Delaware State University Dover,Delaware usa,NA,Estd. Year,28,Estd. Year,
DeVry University Naperville,Illinois usa,NA,Estd. Year,23,Estd. Year,
University of Dubuque Dubuque,Iowa usa,NA,Estd. Year,38,Estd. Year,
Nichols College Dudley,Massachusetts usa,NA,Estd. Year,33,Estd. Year,
Fort Lewis College Durango,Colorado usa,NA,N/A,10,N/A,
North Carolina Central University Durham,North Carolina usa,NA,Estd. Year,17,Estd. Year,
New England Institute of Technology Warwick,Rhode Island usa,NA,Estd. Year,16,Estd. Year,
